Time,Chan,Amp,RiseT,Dur,Energy,RMS,Trai,Counts,CU_Hits,FFT_FoM,FFT_CoG,Time/h,Ecell
214.4614923322,4,30.8576234423,59.0,366.2,5.5311815231,2.48625,1043,22,69,103.2,214.3855173206,214.4709367767,2.9268395074
217.8605479607,4,30.6656622673,120.7,414.1,5.5259268265,2.5387500000000003,1052,19,70,103.2,218.7662811091,217.8699924052,2.9277927511
221.2425942647,4,31.2292689926,23.8,433.5,5.7333163568,2.51375,1063,20,71,103.2,220.7473700375,221.2520387092,2.9371345395
224.6103775951,4,30.9049581079,61.7,328.6,5.4200558225,2.50125,1074,22,72,150.7,215.2316930568,224.6198220396,2.9417101093999998
227.948297736,4,32.0942507536,123.3,418.1,6.1589613324,2.52875,1087,24,73,156.4,220.1383638616,227.9577421805,2.9439978943
231.3538851756,4,31.9698683469,59.6,415.4,6.8347086199,2.4987500000000002,1097,22,74,103.2,221.482955074,231.36332962,2.9573433063000003
234.7488367587,4,30.7140517498,33.0,474.1,6.9319095928,2.4825,1105,25,75,154.5,219.0229575328,234.7582812031,2.9529583852
238.1380126432,4,31.4537230748,24.0,418.1,5.5242373492,2.52,1131,20,76,148.8,213.6637882161,238.1474570876,2.9539116289000003
241.5234488481,4,31.5419054529,32.5,414.5,6.0518985265,2.49,1188,20,77,103.2,225.9714498541,241.5328932926,2.9422820556
244.9015923966,4,30.9049581079,32.9,386.3,6.1954138801,2.48625,1196,24,78,156.4,218.0556623535,244.9110368411,2.9483828154
248.2349496964,4,32.5356611367,23.9,460.5,7.8720680904,2.5225,1205,31,79,148.8,213.9027851965,248.2443941409,2.9424727043
251.6019674236,4,34.0406801851,35.4,417.9,8.6801563157,2.52625,1215,30,80,148.8,206.5024490404,251.6114118681,2.9653505535
254.9639634719,4,34.0077166175,35.2,432.7,8.802730008,2.5225,1229,31,81,103.2,211.5451575414,254.9734079164,2.9613469299
258.3174462915,4,33.3563981745,35.1,433.2,7.785949856,2.50875,1238,28,82,103.2,214.1296042162,258.3268907359,2.9737390982000003
261.67573726,4,33.9080686071,35.4,417.1,8.4183702711,2.51125,1248,27,83,148.8,209.0613176168,261.6851817045,2.9695448259
265.0115451666,4,33.1401407888,32.9,430.5,7.4239389505,2.49,1257,27,84,103.2,206.7653480418,265.020989611,2.9754549369000003
268.3082860021,4,31.758522406,123.3,417.7,6.7518441938,2.5075000000000003,1264,24,85,148.8,215.6601959248,268.3177304465,2.9689728797
271.6024401663,4,32.3377963247,35.3,417.2,6.3226703787,2.4925,1276,23,86,150.7,214.5308299406,271.6118846107,2.9716419621
274.8328826603,4,33.7734009539,35.4,308.9,5.7650293456,2.50125,1293,19,87,150.7,218.6206860278,274.8423271048,2.9706887184
276.9308860549,4,28.5929839008,11.1,118.4,2.1636355086,2.51,1299,12,88,150.7,236.414718845,276.9403304994,3.879320629
278.0810135919,4,32.5356611367,35.1,416.9,5.4088857723,2.5162500000000003,1304,21,89,150.7,214.8970997813,278.0904580364,2.9628721199
281.106097066,4,32.8053112945,35.4,404.3,4.8013651394,2.4825,1309,19,90,103.2,220.8822930042,281.1155415104,2.8997673858
284.4170284715,4,33.5325885896,24.0,416.2,7.5349656981,2.555,1317,27,91,150.7,214.2525183764,284.4264729159,2.9901348902000002
287.7403830871,4,33.2849089673,34.8,432.1,7.7355362009,2.545,1326,31,92,103.2,217.2680576412,287.7498275315,2.9867032128
291.0589169167,4,33.4625407129,35.2,433.1,8.1376696471,2.515,1333,29,93,103.2,210.1697652519,291.0683613611,2.988800349
294.3672451107,4,33.4976352642,28.7,410.3,7.5409276177999995,2.54375,1343,27,94,154.5,208.1991071339,294.3766895552,2.9924226751000003
297.6652217894,4,33.6366124633,61.9,416.8,6.8406356149,2.51,1350,25,95,150.7,225.1255305526,297.6746662338,2.9943291625
300.9659882422,4,33.2128264819,35.1,417.6,7.0285226684,2.485,1362,23,96,150.7,208.3954910796,300.9754326867,3.0078652233
304.243663383,4,32.8808412455,32.5,413.3,6.6881999373,2.4675000000000002,1368,21,97,103.2,213.4305842916,304.2531078275,2.9914694314
307.515278882,4,32.7672985877,24.3,402.7,6.3911254983,2.53625,1373,20,98,150.7,213.0892774989,307.5247233265,3.0046241947
310.7913190621,4,34.426783289,35.3,431.7,8.0690864706,2.5125,1379,26,99,103.2,205.3370351868,310.8007635065,3.0008112198
314.0530997035,4,33.7394052564,35.4,417.5,7.3688483099,2.49625,1386,22,100,150.7,217.1639052475,314.0625441479,2.9964262987
317.3295934612,4,33.4976352642,35.3,418.3,8.3899925812,2.54625,1394,27,101,148.8,208.446864163,317.3390379057,2.9998579761
320.5986931637,4,34.2999797284,35.6,418.9,7.0038382546,2.565,1401,21,102,152.6,213.4249154974,320.6081376082,3.0004299223
323.8682580218,4,34.3636129041,23.8,417.7,9.7168289358,2.48875,1407,29,103,148.8,205.9267540767,323.8777024662,3.0198760941
327.1334756238,4,34.489497566,35.4,418.1,9.317844524,2.4875,1411,25,104,148.8,203.4681101743,327.1429200682,3.0208293378
330.3937263048,4,34.3318545885,35.0,514.5,9.1908324976,2.51875,1416,26,105,156.4,210.8047228927,330.4031707493,3.0219732303
333.6535943065,4,34.2036472477,35.4,418.3,9.4289687695,2.49375,1422,27,106,148.8,203.8929363611,333.663038751,3.0215919328
